Event Type,Start,Duration,Source,Ounces,Size,Quality,Comment
Sleep,2021-07-19 8:51 PM,0h 44m,,,,Normal,
Food,2021-07-19 9:34 PM,0h 8m,Right,,,,
Food,2021-07-19 9:55 PM,0h 5m,Right,,,,
Food,2021-07-19 10:08 PM,0h 6m,Left,,,,
Sleep,2021-07-19 10:20 PM,3h 2m,,,,,
Food,2021-07-20 1:24 AM,0h 9m,Left,,,,
Potty,2021-07-20 1:46 AM,,,,,,Peep
Food,2021-07-20 1:48 AM,0h 3m,Right,,,,
Sleep,2021-07-20 2:12 AM,0h 51m,,,,,
Food,2021-07-20 3:16 AM,0h 7m,Right,,,,
Food,2021-07-20 3:39 AM,0h 7m,Left,,,,
Sleep,2021-07-20 3:54 AM,2h 6m,,,,,
Food,2021-07-20 6:01 AM,0h 9m,Left,,,,
Sleep,2021-07-20 6:10 AM,1h 34m,,,,,
,,,,,,,
Food,2021-07-20 7:45 AM,0h 7m,Right,,,,
Food,2021-07-20 8:13 AM,0h 3m,Left,,,,
Potty,2021-07-20 8:17 AM,,,,,,Pee
Food,2021-07-20 9:28 AM,0h 3m,Left,,,,
Food,2021-07-20 10:17 AM,0h 5m,Right,,,,
Food,2021-07-20 11:29 AM,0h 4m,Left,,,,
Food,2021-07-20 12:40 PM,0h 4m,Right,,,,
Food,2021-07-20 12:51 PM,0h 3m,Right,,,,
Sleep,2021-07-20 1:45 PM,0h 8m,,,,,
Sleep,2021-07-20 2:25 PM,0h 21m,,,,,
Food,2021-07-20 2:47 PM,0h 5m,Left,,,,
Food,2021-07-20 2:55 PM,0h 2m,Left,,,,
Sleep,2021-07-20 3:30 PM,1h 10m,,,,,
Food,2021-07-20 4:51 PM,0h 7m,Right,,,,
Potty,2021-07-20 5:03 PM,,,,,,Pioooo
Food,2021-07-20 5:24 PM,0h 4m,Right,,,,
Food,2021-07-20 6:23 PM,0h 4m,Left,,,,
Potty,2021-07-20 6:41 PM,,,,Normal,,Pooooo
Sleep,2021-07-20 7:00 PM,0h 37m,,,,,
,,,,,,,
Food,2021-07-20 7:39 PM,0h 8m,Left,,,,
Food,2021-07-20 9:36 PM,0h 2m,Right,,,,
Sleep,2021-07-20 10:10 PM,0h 29m,,,,,
Food,2021-07-20 10:39 PM,0h 5m,Right,,,,
Food,2021-07-20 11:31 PM,0h 8m,Right,,,,
Food,2021-07-21 2:13 AM,0h 7m,Left,,,,
Sleep,2021-07-21 12:06 AM,2h 4m,,,,,
Sleep,2021-07-21 2:30 AM,1h 40m,,,,,
Food,2021-07-21 4:10 AM,0h 6m,Right,,,,
Sleep,2021-07-21 4:30 AM,1h 30m,,,,,
,,,,,,,
Food,2021-07-21 6:15 AM,0h 5m,Bottle,1.5,,,
Food,2021-07-21 8:23 AM,0h 5m,Right,,,,
Sleep,2021-07-21 8:57 AM,0h 46m,,,,,
Food,2021-07-21 9:43 AM,0h 9m,Left,,,,
Sleep,2021-07-21 10:10 AM,1h 42m,,,,,
Food,2021-07-21 11:53 AM, 0h 9m,Right,,,,
Sleep,2021-07-21 1:20 PM,0h 50m,,,,,
Food,2021-07-21 2:10 PM,0h 7m,Left,,,,
Food,2021-07-21 4:57 PM,0h 6m,Right,,,,
Food,2021-07-21 5:16 PM,0h 9m,Right,,,,
Sleep,2021-07-21 6:00 PM,1h 0m,,,,,
Food,2021-07-21 7:33 PM,0h 3m,Left,,,,
Food,2021-07-21 8:54 PM,0h 7m,Left,,,,
Food,2021-07-21 9:38 PM,0h 5m,Right,,,,
Sleep,2021-07-21 10:00 PM,2h 26m,,,,,
Food,2021-07-22 12:28 AM,0h 11m,Right,,,,
Food,2021-07-22 12:47 AM,0h 2m,Left,,,,
Sleep,2021-07-22 12:51 AM,0h 32m,,,,,
Sleep,2021-07-22 1:25 AM,2h 31m,,,,,
Food,2021-07-22 3:57 AM,0h 11m,Left,,,,
Food,2021-07-22 4:23 AM,0h 5m,Right,,,,
Sleep,2021-07-22 4:30 AM,1h 50m,,,,,
Food,2021-07-22 6:20 AM,0h 13m,Right,,,,
Sleep,2021-07-22 6:40 AM,1h 20m,,,,Poor,Restless
Food,2021-07-22 8:06 AM,0h 5m,Left,,,,
Sleep,2021-07-22 9:33 AM,0h 32m,,,,,
Food,2021-07-22 10:23 AM,0h 4m,Left,,,,
Potty,2021-07-22 10:31 AM,,,,Big,,
,,,,,,,
Food,2021-07-22 11:17 AM,0h 5m,Right,,,,
Food,2021-07-22 1:30 PM,0h 10m,Bottle,1.0,,,
Food,2021-07-22 2:42 PM,0h 9m,Bottle,1.0,,,
Sleep,2021-07-22 3:30 PM,0h 42m,,,,,
Food,2021-07-22 4:19 PM,0h 9m,Left,,,,
Food,2021-07-22 4:37 PM,0h 9m,Right,,,,
Sleep,2021-07-22 5:50 PM,0h 40m,,,,,
Sleep,2021-07-22 6:39 PM,0h 27m,,,,,
Food,2021-07-22 7:06 PM,0h 6m,Left,,,,
Food,2021-07-22 7:29 PM,0h 4m,Left,,,,
Sleep,2021-07-22 8:30 PM,0h 16m,,,,,
Food,2021-07-22 8:46 PM,0h 9m,Right,,,,
Food,2021-07-22 9:40 PM,0h 7m,Left,,,,
Food,2021-07-22 9:58 PM,0h 6m,Left,,,,
Food,2021-07-23 12:42 AM,0h 10m,Right,,,,
Sleep,2021-07-22 10:00 PM,2h 40m,,,,,
Sleep,2021-07-23 1:10 AM,1h 21m,,,,,
Food,2021-07-23 2:31 AM,0h 4m,Right,,,,
Sleep,2021-07-23 2:33 AM,0h 35m,,,,Poor,
Food,2021-07-23 3:10 AM,0h 7m,Right,,,,
Sleep,2021-07-23 3:45 AM,0h 28m,,,,,
Sleep,2021-07-23 4:40 AM,0h 56m,,,,,
Food,2021-07-23 5:36 AM,0h 8m,Left,,,,
Sleep,2021-07-23 6:00 AM,2h 51m,,,,,
Food,2021-07-23 8:52 AM,0h 8m,Left,,,,
